Sex,Embarked,Age,Pclass,SibSp,Parch,Fare,Survived
male,S,22,3,1,0,7.25,0
female,C,38,1,1,0,71.2833,1
female,S,26,3,0,0,7925,1
female,S,35,1,1,0,53.1,1
male,S,35,3,0,0,8.05,0
male,Q,,3,0,0,8.4583,0
male,S,54,1,0,0,51.8625,0
male,S,2,3,3,1,21075,0
female,S,27,3,0,2,11.1333,1
female,C,14,2,1,0,30.0708,1
female,S,4,3,1,1,16.7,1
female,S,58,1,0,0,26.55,1
male,S,20,3,0,0,8.05,0
male,S,39,3,1,5,31275,0
female,S,14,3,0,0,7.8542,0
female,S,55,2,0,0,16,1
male,Q,2,3,4,1,29125,0
male,S,,2,0,0,13,1
female,S,31,3,1,0,18,0
female,C,,3,0,0,7225,1
male,S,35,2,0,0,26,0
male,S,34,2,0,0,13,1
female,Q,15,3,0,0,8.0292,1
male,S,28,1,0,0,35.5,1
female,S,8,3,3,1,21075,0
female,S,38,3,1,5,31.3875,1
male,C,,3,0,0,7225,0
male,S,19,1,3,2,263,0
female,Q,,3,0,0,7.8792,1
male,S,,3,0,0,7.8958,0
male,C,40,1,0,0,27.7208,0
female,C,,1,1,0,146.5208,1
female,Q,,3,0,0,7.75,1
male,S,66,2,0,0,10.5,0
male,C,28,1,1,0,82.1708,0
male,S,42,1,1,0,52,0
male,C,,3,0,0,7.2292,1
male,S,21,3,0,0,8.05,0
female,S,18,3,2,0,18,0
female,C,14,3,1,0,11.2417,1
female,S,40,3,1,0,9475,0
female,S,27,2,1,0,21,0
male,C,,3,0,0,7.8958,0
female,C,3,2,1,2,41.5792,1
female,Q,19,3,0,0,7.8792,1
male,S,,3,0,0,8.05,0
male,Q,,3,1,0,15.5,0
female,Q,,3,0,0,7.75,1
male,C,,3,2,0,21.6792,0
female,S,18,3,1,0,17.8,0
male,S,7,3,4,1,39.6875,0
male,S,21,3,0,0,7.8,0
female,C,49,1,1,0,76.7292,1
female,S,29,2,1,0,26,1
male,C,65,1,0,1,61.9792,0
male,S,,1,0,0,35.5,1
female,S,21,2,0,0,10.5,1
male,C,28.5,3,0,0,7.2292,0
female,S,5,2,1,2,27.75,1
male,S,11,3,5,2,46.9,0
male,C,22,3,0,0,7.2292,0
female,S,38,1,0,0,80,1
male,S,45,1,1,0,83475,0
male,S,4,3,3,2,27.9,0
male,C,,1,0,0,27.7208,0
male,C,,3,1,1,15.2458,1
female,S,29,2,0,0,10.5,1
male,S,19,3,0,0,8.1583,0
female,S,17,3,4,2,7925,1
male,S,26,3,2,0,8.6625,0
male,S,32,2,0,0,10.5,0
female,S,16,3,5,2,46.9,0
male,S,21,2,0,0,73.5,0
male,C,26,3,1,0,14.4542,0
male,S,32,3,0,0,56.4958,1
male,S,25,3,0,0,7.65,0
male,S,,3,0,0,7.8958,0
male,S,,3,0,0,8.05,0
male,S,0.83,2,0,2,29,1
female,S,30,3,0,0,12475,1
male,S,22,3,0,0,9,0
male,S,29,3,0,0,9.5,1
female,Q,,3,0,0,7.7875,1
male,S,28,1,0,0,47.1,0
female,S,17,2,0,0,10.5,1
female,S,33,3,3,0,15.85,1
male,S,16,3,1,3,34375,0
male,S,,3,0,0,8.05,0
female,S,23,1,3,2,263,1
male,S,24,3,0,0,8.05,0
male,S,29,3,0,0,8.05,0
male,S,20,3,0,0,7.8542,0
male,S,46,1,1,0,61175,0
male,S,26,3,1,2,20575,0
male,S,59,3,0,0,7.25,0
male,S,,3,0,0,8.05,0
male,C,71,1,0,0,34.6542,0
male,C,23,1,0,1,63.3583,1
female,S,34,2,0,1,23,1
male,S,34,2,1,0,26,0
female,S,28,3,0,0,7.8958,0
male,S,,3,0,0,7.8958,0
male,S,21,1,0,1,77.2875,0
male,S,33,3,0,0,8.6542,0
male,S,37,3,2,0,7925,0
male,S,28,3,0,0,7.8958,0
female,S,21,3,0,0,7.65,1
male,S,,3,0,0,7775,1
male,S,38,3,0,0,7.8958,0
female,Q,,3,1,0,24.15,1
male,S,47,1,0,0,52,0
female,C,14.5,3,1,0,14.4542,0
male,S,22,3,0,0,8.05,0
female,S,20,3,1,0,9825,0
female,C,17,3,0,0,14.4583,0
male,S,21,3,0,0,7925,0
male,Q,70.5,3,0,0,7.75,0
male,S,29,2,1,0,21,0
male,C,24,1,0,1,247.5208,0
female,S,2,3,4,2,31275,0
male,S,21,2,2,0,73.5,0
male,S,,3,0,0,8.05,0
male,C,32.5,2,1,0,30.0708,0
female,S,32.5,2,0,0,13,1
male,S,54,1,0,1,77.2875,0
male,C,12,3,1,0,11.2417,1
male,Q,,3,0,0,7.75,0
male,S,24,3,0,0,7.1417,1
female,C,,3,1,1,22.3583,1
male,S,45,3,0,0,6975,0
male,C,33,3,0,0,7.8958,0
male,S,20,3,0,0,7.05,0
female,S,47,3,1,0,14.5,0
female,S,29,2,1,0,26,1
male,S,25,2,0,0,13,0
male,C,23,2,0,0,15.0458,0
female,S,19,1,0,2,26.2833,1
male,S,37,1,1,0,53.1,0
male,S,16,3,0,0,9.2167,0
male,C,24,1,0,0,79.2,0
female,C,,3,0,2,15.2458,0
female,S,22,3,0,0,7.75,1
female,S,24,3,1,0,15.85,1
male,Q,19,3,0,0,6.75,0
male,S,18,2,0,0,11.5,0
male,S,19,2,1,1,36.75,0
male,S,27,3,0,0,7.7958,1
female,S,9,3,2,2,34375,0
male,S,36.5,2,0,2,26,0
male,S,42,2,0,0,13,0
male,S,51,2,0,0,12525,0
female,S,22,1,1,0,66.6,1
male,S,55.5,3,0,0,8.05,0
male,S,40.5,3,0,2,14.5,0
